INFO 2013-04-19 01:56:06,740 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results28.htm
INFO 2013-04-19 01:56:06,801 models 3532 140304818218752 Checking for hour 54 page. Yr: 2009, Hr: 28
INFO 2013-04-19 01:56:06,801 models 3532 140304818218752 Hour 54 Finals: 
INFO 2013-04-19 01:56:06,802 models 3532 140304818218752 No data for this hour (yet?): 28
INFO 2013-04-19 01:56:07,302 models 3532 140304818218752 Success for hour 28
INFO 2013-04-19 01:56:07,308 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results29.htm
INFO 2013-04-19 01:56:07,374 models 3532 140304818218752 Checking for hour 54 page. Yr: 2009, Hr: 29
INFO 2013-04-19 01:56:07,374 models 3532 140304818218752 Hour 54 Finals: 
INFO 2013-04-19 01:56:07,375 models 3532 140304818218752 No data for this hour (yet?): 29
INFO 2013-04-19 01:56:07,875 models 3532 140304818218752 Success for hour 29
INFO 2013-04-19 01:56:07,879 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results30.htm
INFO 2013-04-19 01:56:07,933 models 3532 140304818218752 Checking for hour 54 page. Yr: 2009, Hr: 30
INFO 2013-04-19 01:56:07,933 models 3532 140304818218752 Hour 54 Finals: 
INFO 2013-04-19 01:56:07,933 models 3532 140304818218752 No data for this hour (yet?): 30
INFO 2013-04-19 01:56:08,434 models 3532 140304818218752 Success for hour 30
INFO 2013-04-19 01:56:08,438 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results31.htm
INFO 2013-04-19 01:56:09,269 models 3532 140304818218752 Success for hour 31
INFO 2013-04-19 01:56:09,273 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results32.htm
INFO 2013-04-19 01:56:09,331 models 3532 140304818218752 Checking for hour 54 page. Yr: 2009, Hr: 32
INFO 2013-04-19 01:56:09,331 models 3532 140304818218752 Hour 54 Finals: 
INFO 2013-04-19 01:56:09,332 models 3532 140304818218752 No data for this hour (yet?): 32
INFO 2013-04-19 01:56:09,832 models 3532 140304818218752 Success for hour 32
INFO 2013-04-19 01:56:09,835 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results33.htm
INFO 2013-04-19 01:56:10,641 models 3532 140304818218752 Success for hour 33
INFO 2013-04-19 01:56:10,643 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results34.htm
INFO 2013-04-19 01:56:11,444 models 3532 140304818218752 Success for hour 34
INFO 2013-04-19 01:56:11,446 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results35.htm
INFO 2013-04-19 01:56:12,257 models 3532 140304818218752 Success for hour 35
INFO 2013-04-19 01:56:12,262 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results36.htm
INFO 2013-04-19 01:56:12,313 models 3532 140304818218752 Checking for hour 54 page. Yr: 2009, Hr: 36
INFO 2013-04-19 01:56:12,313 models 3532 140304818218752 Hour 54 Finals: 
INFO 2013-04-19 01:56:12,313 models 3532 140304818218752 No data for this hour (yet?): 36
INFO 2013-04-19 01:56:12,814 models 3532 140304818218752 Success for hour 36
INFO 2013-04-19 01:56:12,818 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results37.htm
INFO 2013-04-19 01:56:12,874 models 3532 140304818218752 Checking for hour 54 page. Yr: 2009, Hr: 37
INFO 2013-04-19 01:56:12,874 models 3532 140304818218752 Hour 54 Finals: 
INFO 2013-04-19 01:56:12,875 models 3532 140304818218752 No data for this hour (yet?): 37
INFO 2013-04-19 01:56:13,375 models 3532 140304818218752 Success for hour 37
INFO 2013-04-19 01:56:13,379 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results38.htm
INFO 2013-04-19 01:56:14,186 models 3532 140304818218752 Success for hour 38
INFO 2013-04-19 01:56:14,188 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results39.htm
INFO 2013-04-19 01:56:14,994 models 3532 140304818218752 Success for hour 39
INFO 2013-04-19 01:56:14,996 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results40.htm
INFO 2013-04-19 01:56:15,818 models 3532 140304818218752 Success for hour 40
INFO 2013-04-19 01:56:15,820 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results41.htm
INFO 2013-04-19 01:56:16,633 models 3532 140304818218752 Success for hour 41
INFO 2013-04-19 01:56:16,635 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results42.htm
INFO 2013-04-19 01:56:17,446 models 3532 140304818218752 Success for hour 42
INFO 2013-04-19 01:56:17,448 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results43.htm
INFO 2013-04-19 01:56:18,281 models 3532 140304818218752 Success for hour 43
INFO 2013-04-19 01:56:18,282 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results44.htm
INFO 2013-04-19 01:56:19,090 models 3532 140304818218752 Success for hour 44
INFO 2013-04-19 01:56:19,092 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results45.htm
INFO 2013-04-19 01:56:19,148 models 3532 140304818218752 Checking for hour 54 page. Yr: 2009, Hr: 45
INFO 2013-04-19 01:56:19,148 models 3532 140304818218752 Hour 54 Finals: 
INFO 2013-04-19 01:56:19,148 models 3532 140304818218752 No data for this hour (yet?): 45
INFO 2013-04-19 01:56:19,649 models 3532 140304818218752 Success for hour 45
INFO 2013-04-19 01:56:19,651 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results46.htm
INFO 2013-04-19 01:56:20,458 models 3532 140304818218752 Success for hour 46
INFO 2013-04-19 01:56:20,460 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results47.htm
INFO 2013-04-19 01:56:21,269 models 3532 140304818218752 Success for hour 47
INFO 2013-04-19 01:56:21,272 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results48.htm
INFO 2013-04-19 01:56:21,323 models 3532 140304818218752 Checking for hour 54 page. Yr: 2009, Hr: 48
INFO 2013-04-19 01:56:21,323 models 3532 140304818218752 Hour 54 Finals: 
INFO 2013-04-19 01:56:21,323 models 3532 140304818218752 No data for this hour (yet?): 48
INFO 2013-04-19 01:56:21,823 models 3532 140304818218752 Success for hour 48
INFO 2013-04-19 01:56:21,826 models 3532 140304818218752 Getting page: http://90fmtrivia.org/scores_page/Scores2009/results49.htm
INFO 2013-04-19 01:56:21,875 models 3532 140304818218752 Checking for hour 54 page. Yr: 2009, Hr: 49
INFO 2013-04-19 01:56:21,875 models 3532 140304818218752 Hour 54 Finals: 
INFO 2013-04-19 01:56:21,875 models 3532 140304818218752 No data for this hour (yet?): 49
